"price","dateoftransfer","yearchi","tfarea","laua","ldnm","region"
462500,2009-11-30,2009,162.36,"E07000208","Epsom and Ewell","South East"
172500,2009-05-07,2009,57.6,"E07000208","Epsom and Ewell","South East"
387500,2009-11-27,2009,98.12,"E07000208","Epsom and Ewell","South East"
170000,2009-02-20,2009,51.94,"E07000208","Epsom and Ewell","South East"
182000,2009-12-01,2009,36.7,"E07000208","Epsom and Ewell","South East"
184000,2009-12-15,2009,59.49,"E07000208","Epsom and Ewell","South East"
190000,2009-09-11,2009,37.48,"E07000208","Epsom and Ewell","South East"
415000,2009-02-12,2009,159.47,"E07000208","Epsom and Ewell","South East"
402000,2009-10-28,2009,163,"E07000208","Epsom and Ewell","South East"
248000,2009-01-30,2009,76.9,"E07000208","Epsom and Ewell","South East"
325000,2009-10-01,2009,109.09,"E07000208","Epsom and Ewell","South East"
249950,2009-08-07,2009,81.6,"E07000208","Epsom and Ewell","South East"
170000,2009-08-06,2009,48.5,"E07000208","Epsom and Ewell","South East"
270000,2009-08-17,2009,142,"E07000208","Epsom and Ewell","South East"
250000,2009-08-24,2009,90,"E07000208","Epsom and Ewell","South East"
280000,2009-10-05,2009,80.532,"E07000208","Epsom and Ewell","South East"
250000,2009-07-13,2009,74.36,"E07000208","Epsom and Ewell","South East"
278000,2009-02-16,2009,86.1,"E07000208","Epsom and Ewell","South East"
250000,2009-12-14,2009,84.97,"E07000208","Epsom and Ewell","South East"
365000,2009-10-01,2009,106.52,"E07000208","Epsom and Ewell","South East"
299000,2009-07-08,2009,104.2,"E07000208","Epsom and Ewell","South East"
389950,2009-11-06,2009,83.16,"E07000208","Epsom and Ewell","South East"
482000,2009-11-20,2009,127.772,"E07000208","Epsom and Ewell","South East"
250000,2009-06-10,2009,77.4,"E07000208","Epsom and Ewell","South East"
320000,2009-08-14,2009,105.92,"E07000208","Epsom and Ewell","South East"
470000,2009-05-15,2009,118.186,"E07000208","Epsom and Ewell","South East"
135000,2009-11-20,2009,41.8,"E07000208","Epsom and Ewell","South East"
230000,2009-01-09,2009,67.47,"E07000208","Epsom and Ewell","South East"
7e+05,2009-08-14,2009,142.025,"E07000208","Epsom and Ewell","South East"
350000,2009-07-03,2009,103.45,"E07000208","Epsom and Ewell","South East"
250000,2009-12-11,2009,75.9,"E07000208","Epsom and Ewell","South East"
180000,2009-07-28,2009,84.3,"E07000208","Epsom and Ewell","South East"
740000,2009-11-27,2009,173.406,"E07000208","Epsom and Ewell","South East"
240000,2009-04-21,2009,72,"E07000208","Epsom and Ewell","South East"
273000,2009-10-02,2009,79.25,"E07000208","Epsom and Ewell","South East"
98000,2009-05-06,2009,45.72,"E07000208","Epsom and Ewell","South East"
175000,2009-10-01,2009,64.99,"E07000208","Epsom and Ewell","South East"
165000,2009-08-31,2009,74.7,"E07000208","Epsom and Ewell","South East"
150000,2009-04-29,2009,58.17,"E07000208","Epsom and Ewell","South East"
380000,2009-11-04,2009,96,"E07000208","Epsom and Ewell","South East"
635000,2009-11-02,2009,162.76,"E07000208","Epsom and Ewell","South East"
185000,2009-11-13,2009,55,"E07000208","Epsom and Ewell","South East"
290000,2009-03-09,2009,93.5,"E07000208","Epsom and Ewell","South East"
187000,2009-12-18,2009,50.5,"E07000208","Epsom and Ewell","South East"
545000,2009-08-28,2009,196.63,"E07000208","Epsom and Ewell","South East"
330000,2009-07-23,2009,103.29,"E07000208","Epsom and Ewell","South East"
412000,2009-10-21,2009,111.61,"E07000208","Epsom and Ewell","South East"
415000,2009-06-18,2009,117.63,"E07000208","Epsom and Ewell","South East"
335000,2009-12-02,2009,102,"E07000208","Epsom and Ewell","South East"
895000,2009-05-12,2009,407,"E07000208","Epsom and Ewell","South East"
475000,2009-12-03,2009,103.08,"E07000208","Epsom and Ewell","South East"
147000,2009-11-12,2009,43.47,"E07000208","Epsom and Ewell","South East"
495000,2009-06-05,2009,157.31,"E07000208","Epsom and Ewell","South East"
245000,2009-10-22,2009,88.65,"E07000208","Epsom and Ewell","South East"
342000,2009-09-01,2009,115.1,"E07000208","Epsom and Ewell","South East"
290000,2009-07-08,2009,111.14,"E07000208","Epsom and Ewell","South East"
315000,2009-10-30,2009,98.38,"E07000208","Epsom and Ewell","South East"
430000,2009-06-19,2009,106.32,"E07000208","Epsom and Ewell","South East"
345000,2009-05-29,2009,56.75,"E07000208","Epsom and Ewell","South East"
265000,2009-08-28,2009,81.2,"E07000208","Epsom and Ewell","South East"
250000,2009-08-26,2009,80.54,"E07000208","Epsom and Ewell","South East"
190000,2009-05-14,2009,73.01,"E07000208","Epsom and Ewell","South East"
208000,2009-04-09,2009,67,"E07000208","Epsom and Ewell","South East"
615000,2009-10-20,2009,201.54,"E07000208","Epsom and Ewell","South East"
225658,2009-10-19,2009,54.93,"E07000208","Epsom and Ewell","South East"
230000,2009-05-29,2009,74.94,"E07000208","Epsom and Ewell","South East"
330000,2009-03-06,2009,87.2,"E07000208","Epsom and Ewell","South East"
120000,2009-06-19,2009,49,"E07000208","Epsom and Ewell","South East"
562000,2009-05-01,2009,215.59,"E07000208","Epsom and Ewell","South East"
215000,2009-12-09,2009,79.12,"E07000208","Epsom and Ewell","South East"
112000,2009-01-09,2009,70.27,"E07000208","Epsom and Ewell","South East"
182000,2009-12-01,2009,90,"E07000208","Epsom and Ewell","South East"
740000,2009-12-18,2009,116.42,"E07000208","Epsom and Ewell","South East"
269000,2009-12-18,2009,96.16,"E07000208","Epsom and Ewell","South East"
170000,2009-01-16,2009,56.41,"E07000208","Epsom and Ewell","South East"
173000,2009-08-07,2009,60.62,"E07000208","Epsom and Ewell","South East"
208000,2009-09-30,2009,66.57,"E07000208","Epsom and Ewell","South East"
250000,2009-06-19,2009,103.516,"E07000208","Epsom and Ewell","South East"
160000,2009-10-09,2009,77.97,"E07000208","Epsom and Ewell","South East"
230000,2009-12-04,2009,64.35,"E07000208","Epsom and Ewell","South East"
460000,2009-09-08,2009,150,"E07000208","Epsom and Ewell","South East"
225000,2009-10-16,2009,72.16,"E07000208","Epsom and Ewell","South East"
880000,2009-07-31,2009,241.77,"E07000208","Epsom and Ewell","South East"
